       0.0 &        0.1 &      258.0 \\ 
       0.1 &        0.2 &     1186.0 \\ 
       0.2 &        0.3 &     1308.0 \\ 
       0.3 &        0.4 &     1095.0 \\ 
       0.4 &        0.5 &      981.0 \\ 
       0.5 &        0.6 &      785.0 \\ 
       0.6 &        0.7 &      666.0 \\ 
       0.7 &        0.8 &      593.0 \\ 
       0.8 &        0.9 &      501.0 \\ 
       0.9 &        1.0 &      394.0 \\ 
       1.0 &        1.1 &      316.0 \\ 
       1.1 &        1.2 &      287.0 \\ 
       1.2 &        1.3 &      221.0 \\ 
       1.3 &        1.4 &      210.0 \\ 
       1.4 &        1.5 &      159.0 \\ 
       1.5 &        1.6 &      131.0 \\ 
       1.6 &        1.7 &      110.0 \\ 
       1.7 &        1.8 &      105.0 \\ 
       1.8 &        1.9 &       84.0 \\ 
       1.9 &        2.0 &       49.0 \\ 
       2.0 &        2.1 &       29.0 \\ 
       2.1 &        2.2 &       31.0 \\ 
       2.2 &        2.3 &       28.0 \\ 
       2.3 &        2.4 &       18.0 \\ 
       2.4 &        2.5 &       14.0 \\ 
       2.5 &        2.6 &        8.0 \\ 
       2.6 &        2.7 &        8.0 \\ 
       2.7 &        2.8 &        6.0 \\ 
       2.8 &        2.9 &        7.0 \\ 
       2.9 &        3.0 &        4.0 \\ 
       3.0 &        3.1 &        6.0 \\ 
       3.1 &        3.2 &        2.0 \\ 
       3.2 &        3.3 &        1.0 \\ 
       3.3 &        3.4 &        3.0 \\ 
       3.4 &        3.5 &        1.0 \\ 
       3.5 &        3.6 &        1.0 \\ 
       3.6 &        3.7 &        6.0 \\ 
       3.7 &        3.8 &        0.0 \\ 
       3.8 &        3.9 &        0.0 \\ 
       3.9 &        4.0 &        1.0 \\ 
